customer,item,total,quantity,date
Carl Thackston,Bravo,937.6,12,2019-04-09T03:39:16Z
Antoinette Bambra,X-ray,932.34,10,2020-08-23T04:04:58Z
Baxie Goldes,Quebec,986.06,8,2019-01-05T10:51:34Z
Ilyssa Wagstaff,Bravo,289.52,4,2019-02-25T14:25:53Z
Carl Thackston,Bravo,487.88,13,2020-07-06T00:54:38Z
Emmit Karsh,X-ray,272.54,4,2019-07-12T20:35:44Z
Erastus Calderon,Yankee,878.15,15,2020-04-21T08:11:22Z
Baxie Goldes,November,811.09,1,2019-02-08T05:48:09Z
Tersina Sculley,Dao,190.58,9,2019-12-30T12:17:15Z
Antoinette Bambra,Alfa,235.08,9,2020-06-24T02:53:48Z
