customer,item,total,quantity,date
Tory Fearnehough,November,671.92,3,2020-07-30T04:33:05Z
Reg McShirie,Bravo,987.7,11,2019-04-24T06:34:13Z
Adorne Lott,Tango,930.2,1,2020-01-06T12:04:23Z
Dud Clampett,November,206.46,3,2019-03-08T01:18:17Z
Nessi Boam,Quebec,205.91,12,2019-10-14T07:44:23Z
Kristofer Throughton,November,262.42,14,2019-10-24T18:57:09Z
Baxie Goldes,Dao,728.97,7,2019-03-04T12:01:45Z
Reg McShirie,Delta,91.96,5,2019-05-21T07:26:19Z
Dud Clampett,November,522.06,3,2019-01-28T17:32:26Z
Cecilia Truran,Dao,251.96,1,2020-06-12T20:44:08Z
